"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_22","left lever","no reaction",44,"P","right paw",3.78418963391826,18,"contra",0
"squirrel_23","left lever","exit",64,"P","left paw",4.15888308335967,1,"ipsi",0
"squirrel_22","right lever","no reaction",45,"P","right paw",3.80666248977032,1,"ipsi",0
"squirrel_23","left lever","exit",65,"P","left paw",4.17438726989564,2,"ipsi",0
"squirrel_22","left lever","flinch",46,"P","both paws",3.8286413964891,2,"both",0
"squirrel_22","left lever","no reaction",47,"P","left paw",3.85014760171006,1,"ipsi",0
"squirrel_22","left lever","no reaction",48,"P","left paw",3.87120101090789,0,"ipsi",0
"squirrel_22","left lever","no reaction",49,"P","left paw",3.89182029811063,0,"ipsi",0
"squirrel_16","left lever","exit",79,"P","left paw",4.36944785246702,2,"ipsi",0
"squirrel_23","left lever","exit",66,"P","right paw",4.18965474202643,3,"contra",0
"squirrel_16","left lever","exit",80,"P","right paw",4.38202663467388,1,"contra",0
"squirrel_23","left lever","exit",67,"P","left paw",4.20469261939097,1,"ipsi",0
"squirrel_16","left lever","alert",81,"P","left paw",4.39444915467244,2,"ipsi",0
"squirrel_16","left lever","exit",82,"P","left paw",4.40671924726425,1,"ipsi",0
"squirrel_16","left lever","exit",83,"P","left paw",4.4188406077966,2,"ipsi",0
"squirrel_16","left lever","exit",84,"P","left paw",4.43081679884331,1,"ipsi",0
"squirrel_16","left lever","exit",85,"P","left paw",4.44265125649032,2,"ipsi",0
"squirrel_16","left lever","flinch",86,"P","left paw",4.45434729625351,4,"ipsi",0
"squirrel_16","left lever","exit",87,"P","left paw",4.46590811865458,5,"ipsi",0
"squirrel_16","left lever","exit",88,"P","right paw",4.47733681447821,2,"contra",0
"squirrel_16","left lever","exit",89,"P","left paw",4.48863636973214,1,"ipsi",0
"squirrel_16","left lever","exit",90,"P","both paws",4.49980967033027,2,"both",0
"squirrel_16","left lever","exit",91,"P","left paw",4.51085950651685,1,"ipsi",0
"squirrel_16","left lever","flinch",92,"P","left paw",4.52178857704904,1,"ipsi",0
"squirrel_22","left lever","no reaction",50,"P","left paw",3.91202300542815,4,"ipsi",0
"squirrel_22","left lever","no reaction",51,"P","left paw",3.93182563272433,1,"ipsi",0
"squirrel_22","left lever","alert",52,"P","left paw",3.95124371858143,0,"ipsi",0
"squirrel_22","right lever","no reaction",53,"P","right paw",3.97029191355212,2,"ipsi",0
"squirrel_22","left lever","flinch",54,"P","left paw",3.98898404656427,1,"ipsi",0
"squirrel_22","left lever","no reaction",55,"P","right paw",4.00733318523247,1,"contra",0
"squirrel_22","left lever","no reaction",56,"P","left paw",4.02535169073515,0,"ipsi",0
"squirrel_22","left lever","no reaction",57,"P","both paws",4.04305126783455,0,"both",0
"squirrel_22","left lever","no reaction",58,"P","left paw",4.06044301054642,0,"ipsi",0
"squirrel_22","left lever","no reaction",59,"P","left paw",4.07753744390572,0,"ipsi",0
"squirrel_22","left lever","no reaction",60,"P","left paw",4.0943445622221,0,"ipsi",0
"squirrel_22","left lever","no reaction",61,"P","both paws",4.11087386417331,0,"both",0
"squirrel_22","left lever","no reaction",62,"P","both paws",4.12713438504509,0,"both",0
"squirrel_22","left lever","no reaction",63,"P","both paws",4.14313472639153,0,"both",0
"squirrel_22","left lever","no reaction",64,"P","left paw",4.15888308335967,0,"ipsi",0
"squirrel_22","left lever","no reaction",65,"P","left paw",4.17438726989564,1,"ipsi",0
"squirrel_22","left lever","no reaction",66,"P","left paw",4.18965474202643,0,"ipsi",0
"squirrel_22","left lever","no reaction",67,"P","left paw",4.20469261939097,0,"ipsi",0
"squirrel_22","left lever","no reaction",68,"P","left paw",4.21950770517611,0,"ipsi",0
"squirrel_10","right lever","exit",5,"C","both paws",1.6094379124341,6,"both",0
"squirrel_6","left lever","flinch",305,"C","right paw",5.72031177660741,3,"contra",0
"squirrel_10","left lever","exit",6,"C","both paws",1.79175946922805,2,"both",0
"squirrel_10","left lever","exit",7,"C","both paws",1.94591014905531,1,"both",0
"squirrel_6","left lever","no reaction",306,"C","both paws",5.72358510195238,2,"both",0
"squirrel_10","left lever","exit",8,"C","both paws",2.07944154167984,2,"both",0
"squirrel_6","left lever","no reaction",307,"C","both paws",5.7268477475872,1,"both",0
"squirrel_6","left lever","no reaction",308,"C","both paws",5.73009978297357,1,"both",0
"squirrel_10","left lever","exit",9,"C","right paw",2.19722457733622,2,"contra",0
"squirrel_6","left lever","no reaction",309,"C","left paw",5.73334127689775,1,"ipsi",0
"squirrel_6","left lever","no reaction",310,"C","both paws",5.73657229747919,1,"both",0
"squirrel_10","left lever","exit",10,"C","right paw",2.30258509299405,1,"contra",0
