"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_16",8,1,4.90000000000003,0,5.40000000000003,"A","M",0,2.07944154167984
"squirrel_16",9,0,NA,1,94.366,"A","M",0,2.19722457733622
"squirrel_16",10,0,NA,0,10.567,"A","M",0,2.30258509299405
"squirrel_16",11,0,NA,0,14.907,"A","M",0,2.39789527279837
"squirrel_21",1,1,7.767,0,8.23399999999999,"A","M",0,0
"squirrel_21",2,1,16.733,1,17.066,"A","M",0,0.693147180559945
"squirrel_21",3,0,NA,1,10.6,"A","M",0,1.09861228866811
"squirrel_21",4,0,NA,1,7.833,"A","M",0,1.38629436111989
"squirrel_21",5,1,7.36600000000001,1,7.96600000000001,"A","M",0,1.6094379124341
"squirrel_21",6,0,NA,0,1.20000000000002,"A","M",0,1.79175946922805
"squirrel_21",7,0,NA,1,6.70000000000002,"A","M",0,1.94591014905531
"squirrel_21",8,0,NA,0,5.93299999999999,"A","M",0,2.07944154167984
"squirrel_21",9,0,NA,0,34.533,"A","M",0,2.19722457733622
"squirrel_21",10,0,NA,0,7.09999999999997,"A","M",0,2.30258509299405
"squirrel_29",1,0,NA,0,1.96600000000001,"A","M",0,0
"squirrel_15",2,0,NA,0,1.06599999999997,"P","F",0,0.693147180559945
"squirrel_15",3,0,NA,0,4.66699999999997,"P","F",1,1.09861228866811
"squirrel_15",4,0,NA,0,1.63400000000001,"P","F",0,1.38629436111989
"squirrel_15",5,1,103.178,1,104.811,"P","F",0,1.6094379124341
"squirrel_15",6,1,115.638,1,116.371,"P","F",0,1.79175946922805
"squirrel_15",7,0,NA,0,7.33299999999997,"P","F",0,1.94591014905531
"squirrel_15",9,0,NA,0,20.0720000000001,"P","F",0,2.19722457733622
"squirrel_16",1,4,6.03899999999999,1,106.172,"A","M",0,0
"squirrel_16",2,1,51.7,1,73.539,"A","M",0,0.693147180559945
"squirrel_16",3,1,17.2660000000001,1,47.1780000000001,"A","M",0,1.09861228866811
"squirrel_16",4,0,NA,0,18.2330000000002,"A","M",0,1.38629436111989
"squirrel_16",5,1,16.5060000000001,1,20.873,"A","M",0,1.6094379124341
"squirrel_21",1,1,26.4,0,26.7,"A","M",0,0
"squirrel_21",3,0,NA,0,13.066,"A","M",0,1.09861228866811
"squirrel_23",1,7,2.63399999999999,1,83.466,"A","F",0,0
"squirrel_23",2,2,0.232999999999976,1,65.732,"A","F",0,0.693147180559945
"squirrel_23",3,1,3.83300000000003,1,14.533,"A","F",0,1.09861228866811
"squirrel_23",4,1,0.966999999999871,1,14.8340000000001,"A","F",1,1.38629436111989
"squirrel_23",5,0,NA,1,6.59999999999991,"A","F",1,1.6094379124341
"squirrel_23",6,1,0.766999999999825,1,3.79999999999995,"A","F",1,1.79175946922805
